(27d,353) (175,353)
(17,37) (7,37)
(27,55) (17,55)
(195b,292d) (15b,292d)
(2587,301f) (1177,301f)
(1265,1321) (84d,1321)
(605,86f) (16d,86f)
(d7d,102d) (75,102d)
(779,845) (89,845)
(2f3,5bd) (fb,5bd)
(c97,2c95) (e67,2c95)
(43,203) (43,203)
(33b,f3d) (4ab,f3d)
(7cd,22df) (ea5,22df)
(2d1,ca1) (5a1,ca1)
(19d,2c3) (4d,2c3)
(5ad,18a9) (2a5,18a9)
(25,275) (6d,275)
(35f,973) (cf,973)
(9dd,b41) (65,b41)
(4bd,292d) (4b1,292d)
(14b,288b) (8e3,288b)
(41,1057) (461,1057)
(5b5,71b) (2fd,71b)
(949,2ad1) (af9,2ad1)
(a7,fd) (53,fd)
(59f,bff) (167,bff)
(61f,77f) (2bf,77f)
(b8f,128b) (4d7,128b)
(3c1,f77) (199,f77)
(60f,ad5) (177,ad5)
(773,124f) (7bb,124f)
(b03,102d) (30b,102d)
(2ff,4f9) (1eb,4f9)
(3b,229) (77,229)
(131,1ff) (11,1ff)
(6d7,817) (2b7,817)
(13d,8d7) (125,8d7)
(a01,c59) (d1,c59)
(e5,e05) (66d,e05)
(89,2e1) (35,2e1)
(159,29b) (19,29b)
(10bb,199d) (623,199d)
(8e7,ad5) (2a7,ad5)
(89,1ed) (79,1ed)
(24d,899) (3f1,899)
(c77,f61) (443,f61)
(385,47b) (b5,47b)
(95,5dd) (f5,5dd)
(8d1,ac7) (c1,ac7)
(1df,487) (ef,487)
(a3,b6b) (17b,b6b)
(12b3,1705) (30f,1705)
(2fb,1e83) (ee3,1e83)
(1b,37) (3,37)
(11e7,2749) (e57,2749)
(8b,2b1) (d3,2b1)
(53,545) (a7,545)
(173,605) (e3,605)
(8b,263) (8b,263)
(2675,3613) (1505,3613)
(ed7,23cf) (a27,23cf)
(1e71,21a3) (b51,21a3)
(1c1,787) (d1,787)
(107,545) (20f,545)
(1789,1d45) (7d5,1d45)
(397,5e9) (a7,5e9)
(23,2d1) (23,2d1)
(64f,863) (16f,863)
(973,c4d) (553,c4d)
(c9,fd) (51,fd)
(1cb,71b) (2e3,71b)
(701,887) (221,887)
(517,6b5) (a7,6b5)
(64d,1055) (5,1055)
(d37,3515) (2ab,3515)
(1d,5b) (5,5b)
(1083,1c03) (c5b,1c03)
(151,3eb) (171,3eb)
(3ef,673) (1f7,673)
(523,5e9) (28b,5e9)
(115,1e5) (3d,1e5)
(37d,102d) (2f5,102d)
(2c5,e63) (5ad,e63)
(6bb,81d) (223,81d)
(142f,301d) (c4f,301d)
(e1d,15b9) (169,15b9)
(2b,1f1) (7f,1f1)
(a3,2d1) (c7,2d1)
(71,13f) (39,13f)
(1a1,87d) (341,87d)
(23,55) (b,55)
(1c7b,2165) (877,2165)
(13f,245) (5b,245)
(a7f,e0f) (3d7,e0f)
(2b3,37d) (8b,37d)
(239,4f7) (149,4f7)
(757,c59) (67,c59)
(481,941) (b5,941)
(91,d7) (49,d7)
(47,11f) (47,11f)
(69,22b1) (a59,22b1)
(471,6b5) (111,6b5)
(2e3,637) (29b,637)
(33b,473) (53,473)
(455,104b) (1fd,104b)
(617,781) (1a7,781)
(5,23) (5,23)
(af1,e99) (191,e99)
(2109,22b1) (b45,22b1)
(2207,2749) (1b7,2749)
(b1d,288b) (475,288b)
(15b,24d) (107,24d)
(737,c4d) (107,c4d)
(13f1,2b0d) (1c1,2b0d)
(7c3,a3f) (283,a3f)
(1837,1b77) (ba7,1b77)
(d33,1ae7) (8fb,1ae7)
(74f,12d3) (74f,12d3)
(863,c43) (2db,c43)
(60b,763) (2ab,763)
(8b,1f73) (6a3,1f73)
(251,d33) (179,d33)
(9f5,c79) (1fd,c79)
(1643,1c91) (293,1c91)
(eb,12b) (5b,12b)
(79,1457) (7f9,1457)
(337,57b) (f7,57b)
(1c65,20bf) (e5,20bf)
(1a3,37d) (53,37d)
(35,13f) (25,13f)
(89,103) (29,103)
(491,105b) (359,105b)
(13f,179) (4f,179)
(7e7,ac7) (3c7,ac7)
(16eb,1aed) (143,1aed)
(89,203) (89,203)
(43,1ff) (bb,1ff)
(655,863) (21d,863)
(12f,b5f) (2ff,b5f)
(67,8f) (7,8f)
(149,215) (59,215)
(240b,2d8f) (d2b,2d8f)
(1273,1ccd) (a1b,1ccd)
(4cf,bb1) (2ef,bb1)
(64f,2749) (daf,2749)
(1,197) (1,197)
(3cd,69b) (2f5,69b)
(a7,fd) (53,fd)
(1375,2105) (709,2105)
(1f5,7ff) (21d,7ff)
(16c9,1963) (af9,1963)
(1cf,81d) (2d7,81d)
(329,5b1) (1d,5b1)
(2cf,673) (8f,673)
(174b,1aed) (c23,1aed)
(a1,bb1) (a1,bb1)
(709,ddf) (571,ddf)
(223,289) (7b,289)
(517,2645) (d27,2645)
(5db,763) (12b,763)
(149,1c3) (a9,1c3)
(3f5,485) (dd,485)
(e3,19d) (17,19d)
(1,12d) (1,12d)
(4bd,941) (25,941)
(d81,11cf) (301,11cf)
(a8b,c3b) (12b,c3b)
(b,77) (23,77)
(829,1811) (af9,1811)
(11db,1811) (533,1811)
(7e7,991) (3c7,991)
(24b,7a5) (233,7a5)
(37,379) (37,379)
(3d3,5b1) (1f3,5b1)
(d25,14ad) (881,14ad)
(a1,30b) (a1,30b)
(a9,2039) (f19,2039)
(161,a15) (2c1,a15)
(18e3,1c01) (15b,1c01)
(17b,221) (a3,221)
(10d9,1aed) (269,1aed)
(1ad5,1c03) (4cd,1c03)
(119b,1321) (bf,1321)
(36d,125b) (30d,125b)
(21d,afd) (3b5,afd)
(79,f7) (19,f7)
(419,e0f) (d1,e0f)
(25b7,380f) (f07,380f)
(109,263) (19,263)
(a7,221) (77,221)
(db,c37) (4f3,c37)
(1a83,3515) (397,3515)
(17,d1) (2f,d1)
(7,319) (67,319)
(7f,12b) (4f,12b)
